o,h,l,c,v,ts
14732.3603515625,14844.169921875,14730.8701171875,14809.76953125,0,2026-04-02 13:30:00
14812.7900390625,14909.1904296875,14796.3896484375,14857.7197265625,0,2026-04-02 14:30:00
14881.51953125,14928.1796875,14862.259765625,14904.919921875,0,2026-04-03 06:30:00
14906.1298828125,14906.1298828125,14825.6103515625,14865.009765625,0,2026-04-03 07:30:00
14866.759765625,14867.5302734375,14805.5302734375,14811.2197265625,0,2026-04-03 08:30:00
14811.3095703125,14821.4501953125,14785.1298828125,14796.6796875,0,2026-04-03 09:30:00
14797.7197265625,14821.83984375,14778.08984375,14820.41015625,0,2026-04-03 10:30:00
14820.2802734375,14821.76953125,14754.9296875,14764.8701171875,0,2026-04-03 11:30:00
14764.75,14773.51953125,14714.33984375,14742.0498046875,0,2026-04-03 12:30:00
14742.1298828125,14848.580078125,14737.830078125,14761.1201171875,0,2026-04-03 13:30:00
14760.599609375,14787.8798828125,14748.6904296875,14748.6904296875,0,2026-04-03 14:30:00
14757.26953125,14837.76953125,14757.26953125,14766.9404296875,0,2026-04-06 06:30:00
14768.1201171875,14968.0703125,14768.1201171875,14963.5302734375,0,2026-04-06 07:30:00
14963.5498046875,15035.849609375,14929.5498046875,15007.75,0,2026-04-06 08:30:00
15008.9404296875,15028.51953125,14943.919921875,14994.580078125,0,2026-04-06 09:30:00
14996.169921875,15015.75,14961.0703125,14977.1796875,0,2026-04-06 10:30:00
14979.8896484375,15030.3095703125,14973.849609375,15003.2802734375,0,2026-04-06 11:30:00
15003.5498046875,15061.509765625,14996.669921875,15007.75,0,2026-04-06 12:30:00
15009.1201171875,15046.1904296875,14995.2802734375,15018.5595703125,0,2026-04-06 13:30:00
15018.0703125,15023.5703125,14973.3603515625,14989.5498046875,0,2026-04-06 14:30:00
14970.91015625,15048.4404296875,14947.4697265625,14947.6298828125,0,2026-04-07 06:30:00
14941.5400390625,15016.8203125,14910.5,14994.759765625,0,2026-04-07 07:30:00
14994.759765625,15023.01953125,14988.76953125,15004.5,0,2026-04-07 08:30:00
15004.5302734375,15005.330078125,14932.7197265625,14943.7802734375,0,2026-04-07 09:30:00
14947.0302734375,14950.259765625,14834.1396484375,14863.0703125,0,2026-04-07 10:30:00
14860.9599609375,14876.3701171875,14788.580078125,14840.169921875,0,2026-04-07 11:30:00
14840.0595703125,14855.4599609375,14778.8896484375,14802.23046875,0,2026-04-07 12:30:00
14801.1796875,14810.7802734375,14713.33984375,14781.5302734375,0,2026-04-07 13:30:00
14782.98046875,14804.150390625,14744.509765625,14744.98046875,0,2026-04-07 14:30:00
14759.580078125,15370.8798828125,14759.580078125,15359.1796875,0,2026-04-08 06:30:00
15357.740234375,15443.73046875,15345.169921875,15429.08984375,0,2026-04-08 07:30:00
15427.9404296875,15507.6796875,15427.83984375,15502.0703125,0,2026-04-08 08:30:00
15502.3701171875,15521.0703125,15454.400390625,15517.01953125,0,2026-04-08 09:30:00
15516.5302734375,15576.849609375,15514.1201171875,15563.8603515625,0,2026-04-08 10:30:00
