o,h,l,c,v,ts
7592.25,7592.5,7585.25,7589.25,6448,2026-06-17 10:00:00
7589.0,7594.25,7586.75,7591.5,3788,2026-06-17 10:15:00
7591.75,7595.75,7590.5,7595.75,2111,2026-06-17 10:30:00
7595.75,7598.25,7590.25,7591.0,3450,2026-06-17 10:45:00
7591.25,7596.5,7589.75,7595.75,2977,2026-06-17 11:00:00
7595.5,7597.75,7593.5,7594.5,2875,2026-06-17 11:15:00
7594.25,7594.5,7589.0,7589.5,3697,2026-06-17 11:30:00
7589.5,7591.0,7583.0,7586.5,6448,2026-06-17 11:45:00
7586.75,7593.5,7586.25,7592.75,5544,2026-06-17 12:00:00
7592.75,7593.5,7589.25,7590.25,6530,2026-06-17 12:15:00
7590.25,7596.5,7590.0,7594.75,8080,2026-06-17 12:30:00
7594.5,7596.25,7592.75,7595.25,5402,2026-06-17 12:45:00
7595.25,7595.75,7591.0,7594.25,6401,2026-06-17 13:00:00
7594.25,7598.75,7590.25,7595.75,13872,2026-06-17 13:15:00
7595.75,7598.0,7583.25,7598.0,78720,2026-06-17 13:30:00
7598.0,7600.25,7581.0,7581.0,56685,2026-06-17 13:45:00
7581.25,7595.0,7578.5,7594.75,56460,2026-06-17 14:00:00
7594.75,7604.25,7593.25,7599.25,45076,2026-06-17 14:15:00
7599.25,7599.75,7574.0,7584.0,58560,2026-06-17 14:30:00
7584.0,7588.75,7560.5,7572.5,82470,2026-06-17 14:45:00
7572.25,7579.75,7568.0,7578.25,41134,2026-06-17 15:00:00
7578.25,7584.75,7575.5,7582.25,39403,2026-06-17 15:15:00
7582.0,7590.5,7580.0,7586.25,29330,2026-06-17 15:30:00
7586.25,7591.25,7585.5,7588.75,22115,2026-06-17 15:45:00
7589.0,7592.0,7585.5,7588.75,16371,2026-06-17 16:00:00
7588.75,7593.25,7587.0,7590.25,17687,2026-06-17 16:15:00
7590.25,7591.25,7581.75,7584.75,22593,2026-06-17 16:30:00
7585.0,7585.75,7581.5,7582.75,17783,2026-06-17 16:45:00
7582.5,7583.0,7568.5,7575.25,32003,2026-06-17 17:00:00
7575.0,7579.75,7572.0,7578.25,23698,2026-06-17 17:15:00
7578.25,7579.0,7572.5,7574.25,20562,2026-06-17 17:30:00
7574.25,7589.75,7573.0,7588.75,24041,2026-06-17 17:45:00
7588.25,7590.75,7514.5,7546.25,128640,2026-06-17 18:00:00
7546.0,7560.25,7533.75,7542.75,61421,2026-06-17 18:15:00
7542.5,7584.25,7535.75,7580.25,93792,2026-06-17 18:30:00
7580.25,7580.75,7531.5,7540.75,60784,2026-06-17 18:45:00
7540.5,7552.0,7524.25,7547.0,73491,2026-06-17 19:00:00
7547.0,7548.5,7497.25,7500.25,88741,2026-06-17 19:15:00
7500.25,7503.75,7472.25,7479.75,100663,2026-06-17 19:30:00
7479.75,7498.75,7474.0,7492.5,156704,2026-06-17 19:45:00
7492.25,7504.5,7490.25,7492.5,49088,2026-06-17 20:00:00
7492.5,7510.0,7490.0,7508.0,12751,2026-06-17 20:15:00
7508.25,7515.25,7505.75,7511.5,7328,2026-06-17 20:30:00
7511.25,7511.75,7507.25,7511.0,6305,2026-06-17 20:45:00
7512.5,7521.75,7504.25,7519.75,3345,2026-06-17 22:00:00
7520.0,7526.75,7518.25,7523.5,4166,2026-06-17 22:15:00
7523.25,7527.25,7522.25,7524.25,2205,2026-06-17 22:30:00
7524.0,7527.75,7524.0,7525.5,1458,2026-06-17 22:45:00
7525.75,7531.75,7524.25,7531.75,2123,2026-06-17 23:00:00
7531.5,7539.25,7531.0,7537.75,3221,2026-06-17 23:15:00
7538.0,7539.5,7534.0,7535.25,2046,2026-06-17 23:30:00
7535.5,7541.25,7534.5,7541.25,1990,2026-06-17 23:45:00
7541.5,7559.25,7539.75,7558.75,8110,2026-06-18 00:00:00
7559.0,7560.5,7549.0,7552.75,5917,2026-06-18 00:15:00
7552.75,7558.25,7552.75,7556.25,3674,2026-06-18 00:30:00
7556.25,7557.0,7548.0,7550.75,4565,2026-06-18 00:45:00
7550.75,7560.75,7550.0,7559.25,3397,2026-06-18 01:00:00
7559.25,7561.25,7554.75,7556.75,2781,2026-06-18 01:15:00
7557.25,7559.25,7553.75,7554.75,2695,2026-06-18 01:30:00
7554.75,7556.25,7550.25,7553.0,2609,2026-06-18 01:45:00
7553.0,7559.75,7552.0,7557.5,1801,2026-06-18 02:00:00
7557.5,7558.0,7554.5,7555.5,980,2026-06-18 02:15:00
7555.75,7557.5,7553.25,7557.0,986,2026-06-18 02:30:00
7557.0,7558.5,7555.25,7556.75,1289,2026-06-18 02:45:00
7556.5,7558.25,7552.5,7553.0,1799,2026-06-18 03:00:00
7553.0,7557.5,7552.25,7556.5,1457,2026-06-18 03:15:00
7556.75,7558.75,7550.25,7551.5,1380,2026-06-18 03:30:00
7551.5,7556.5,7551.25,7555.0,1213,2026-06-18 03:45:00
7552.5,7553.5,7549.25,7549.5,1716,2026-06-18 04:00:00
7549.5,7551.5,7544.75,7546.75,2113,2026-06-18 04:15:00
7546.5,7546.75,7540.5,7541.0,1978,2026-06-18 04:30:00
