tarih,gsyh_bin_tl,usdtry_ceyrek_ort,usdtry_ceyrek_son,gsyh_mn_tl,gsyh_mn_usd,gsyh4_mn_usd,gsyh4_mn_usd_nokta,cari12_mn_usd,cekirdek12_mn_usd,cari_gsyh,cekirdek_gsyh
2022-12-31,4882509912.85856,18.59799846153846,18.6966,4882509.91285856,262528.7835653832,913186.3831015422,883235.2251506632,-46668.0,52849.71,-5.110457280527663,5.787395758191386
2023-03-31,4798503056.20185,18.852721538461537,19.146,4798503.05620185,254525.74825403315,981770.2030343167,957044.4606695337,-52688.0,50793.95,-5.366632623108684,5.173710695538857
2023-06-30,5696948397.90071,20.649713559322034,25.8231,5696948.39790071,275885.10521149094,1035745.8499347342,967534.3798308758,-52484.0,45922.170000000006,-5.0672662606668615,4.433729568203794
2023-09-30,7894487347.52061,26.7742109375,27.3752,7894487.34752061,294854.1552148444,1087793.7922457517,1020766.609052664,-48057.0,41334.75,-4.417840986276109,3.7998700024445213
2023-12-31,8701530263.078209,28.45952923076923,29.3973,8701530.263078209,305751.0260454514,1131016.0347258197,1055619.9420574806,-41821.0,36552.56,-3.6976487260977007,3.2318339331821275
2024-03-31,9092978987.20063,30.863971875,32.2596,9092978.98720063,294614.6731868298,1171104.9596586167,1086861.9513031344,-27532.0,39701.44,-2.3509421399791295,3.3900838411249823
2024-06-30,10162335255.5805,32.296987719298244,32.8417,10162335.2555805,314652.72687050793,1209872.5813176334,1175681.4229988467,-21479.0,42958.229999999996,-1.7753109155187161,3.550640841303765
2024-09-30,12333977588.6793,33.4454421875,34.09,12333977.5886793,368779.0258395519,1283797.451942341,1249106.754542371,-11091.0,49218.08,-0.8639213283388048,3.8337885719849933
2024-12-31,13086681096.4515,34.48162307692308,35.2233,13086681.0964515,379526.2498884456,1357572.6757853352,1324643.9362511784,-13027.0,49667.26,-0.9595803033133441,3.65853415333866
2025-03-31,12570148524.8555,36.15040322580645,37.9323,12570148.5248555,347718.0723639102,1410676.0749624157,1374158.7731877437,-17518.0,46715.189999999995,-1.2418159144342706,3.3115462032093097
2025-06-30,14609805608.7973,38.67098474576271,39.7424,14609805.6087973,377797.60988367745,1473820.957975585,1432337.4400947287,-24198.0,41802.14,-1.6418547903700564,2.836310596194717
2025-09-30,17533422455.4975,40.68386923076923,41.4984,17533422.4554975,430967.42731236987,1536009.3594484031,1493039.512833239,-25679.0,41061.229999999996,-1.6717997089042214,2.6732408723567613
2025-12-31,18527147403.6199,42.17121384615385,42.8623,18527147.4036199,439331.6130574135,1595814.722617371,1553752.8227905142,-30338.0,37014.07,-1.9010978887474617,2.319446579568553
2026-03-31,17098138220.9303,43.590709677419355,44.3841,17098138.2209303,392242.71289594064,1640339.3631494013,1607600.2117870047,-39793.0,26512.53,-2.425900450477434,1.6162832274595151
2026-06-30,19869747341.4119,45.38410847457627,46.5551,19869747.3414119,437812.88228990405,1700354.6355556282,1666788.3052523653,-38888.0,28948.13,-2.2870523117251063,1.702476024393615
