tarih,f_ticari_tl,f_tuketici,f_ihtiyac,f_konut,f_mevduat_tl,f_mevduat_3a,makas,marjinal,politika_h,kredi_marj,mevduat_marj,beta_ticari_tl,r2_ticari_tl,beta_mevduat_tl,r2_mevduat_tl
2024-04-19,66.24,78.38,81.54,44.94,60.34,68.88,5.8999999999999915,52.557500000000005,50.0,13.68249999999999,-7.782499999999999,0.6365380793179815,0.20233098195905563,0.4245629243596842,0.14310787498768474
2024-04-26,67.2,77.0,81.31,44.7,60.31,68.06,6.890000000000001,52.0675,50.0,15.1325,-8.2425,0.623513252780206,0.19706796337393528,0.43394102827937586,0.15081044878549943
2024-05-03,65.92,75.95,79.9,44.02,61.05,68.03,4.8700000000000045,52.1275,50.0,13.792500000000004,-8.9225,0.6480148924491733,0.2070832163423998,0.42038524851049036,0.1442527037776411
2024-05-10,65.6,75.93,79.21,44.66,60.53,68.18,5.069999999999993,50.6075377037037,50.0,14.992462296296296,-9.922462296296302,0.6378061923423908,0.21134533102732223,0.43198072257613995,0.1590028061646629
2024-05-17,64.37,74.34,78.04,44.88,58.68,63.71,5.690000000000005,50.5578,50.0,13.812200000000004,-8.1222,0.6376776851258401,0.21224606399271784,0.45611002744913637,0.16827721672697915
2024-05-24,63.82,73.18,76.94,44.93,58.06,61.77,5.759999999999998,49.08064427614913,50.0,14.73935572385087,-8.979355723850873,0.6386481858328267,0.2206097512213826,0.4734721046351293,0.19194963298211154
2024-05-31,64.25,71.39,75.93,44.98,57.54,61.0,6.710000000000001,50.0,50.0,14.25,-7.539999999999999,0.6340962969143592,0.2170206762899518,0.4778426609811106,0.19262960200817214
2024-06-07,63.97,72.46,75.02,44.84,57.57,60.95,6.399999999999999,50.088,50.0,13.881999999999998,-7.481999999999999,0.6356945095431301,0.21716455929128342,0.49694891153693826,0.213626688053701
2024-06-14,61.64,70.83,73.56,44.35,57.1,60.28,4.539999999999999,50.0,50.0,11.64,-7.100000000000001,0.6567460135093445,0.21998323640291695,0.5106296560365543,0.22352479825726057
2024-06-21,65.94,75.8,76.5,44.58,56.15,58.38,9.79,49.940875,50.0,15.999125,-6.209125,0.6234434707726024,0.18871717350792805,0.5323260237691776,0.24869276728217993
