kod,itfa,vade_yil,reel_getiri,endeks_orani,tarih
TP.TRT120128A12,2028-01-12,2.052054794520548,7.371228479540948,10.591040534377445,2025-12-24
TP.TRT280628A19,2028-06-28,2.5123287671232877,4.583936490777174,9.957032442158516,2025-12-24
TP.TRT190728A27,2028-07-19,2.56986301369863,6.831542327964524,2.638179259257789,2025-12-24
TP.TRT181028A15,2028-10-18,2.819178082191781,3.3773483012014216,2.166065269421078,2025-12-24
TP.TRT140229A18,2029-02-14,3.1452054794520548,6.314019103899793,1.8616319993413923,2025-12-24
TP.TRT110429A19,2029-04-11,3.2986301369863016,5.673778710907529,1.203117438720763,2025-12-24
TP.TRT020529A19,2029-05-02,3.356164383561644,5.035569240445592,1.642622380651808,2025-12-24
TP.TRT130629A15,2029-06-13,3.4712328767123286,6.314273111952584,1.1417926143712833,2025-12-24
TP.TRT280531A15,2031-05-28,5.427397260273972,3.4589441818306366,6.524243449951889,2025-12-24
TP.TRT110232A16,2032-02-11,6.136986301369863,3.969494065489032,5.12572551187337,2025-12-24
TP.TRT040832A19,2032-08-04,6.616438356164384,4.3789184591888075,3.5904381084840056,2025-12-24
TP.TRT120133A15,2033-01-12,7.057534246575343,3.826406554368389,3.095944780032974,2025-12-24
TP.TRT070933A14,2033-09-07,7.7095890410958905,4.0513208347842555,2.3945380247973396,2025-12-24
TP.TRT180827A10,2027-08-18,1.6465753424657534,7.474859437550463,1.4890254965472336,2025-12-25
TP.TRT151227A17,2027-12-15,1.9726027397260273,8.767973358786696,1.338124001306889,2025-12-25
TP.TRT120128A12,2028-01-12,2.0493150684931507,7.371198278411839,10.59959133030748,2025-12-25
TP.TRT280628A19,2028-06-28,2.5095890410958903,4.583872063295824,9.965071364510411,2025-12-25
TP.TRT190728A27,2028-07-19,2.5671232876712327,6.831555262566136,2.6403092230134315,2025-12-25
TP.TRT181028A15,2028-10-18,2.8164383561643835,3.37738772580527,2.1678140666265873,2025-12-25
TP.TRT140229A18,2029-02-14,3.1424657534246574,6.313965055715354,1.8631350089155243,2025-12-25
TP.TRT110429A19,2029-04-11,3.2958904109589042,5.674463888005654,1.2040887891433183,2025-12-25
TP.TRT020529A19,2029-05-02,3.3534246575342466,5.036069086127526,1.6439485703421854,2025-12-25
TP.TRT130629A15,2029-06-13,3.4684931506849317,6.313952461223815,1.1427144535058065,2025-12-25
TP.TRT280531A15,2031-05-28,5.424657534246576,3.4588582476333674,6.529510871425475,2025-12-25
TP.TRT110232A16,2032-02-11,6.134246575342465,3.9694930961026387,5.129863824129199,2025-12-25
TP.TRT040832A19,2032-08-04,6.6136986301369864,4.378923254960587,3.5933368891529502,2025-12-25
TP.TRT120133A15,2033-01-12,7.054794520547945,3.826420223674787,3.0984443259405534,2025-12-25
TP.TRT070933A14,2033-09-07,7.706849315068493,4.051285321753961,2.3964712820566514,2025-12-25
TP.TRT180827A10,2027-08-18,1.643835616438356,7.4757569543276725,1.4902267082504796,2025-12-26
TP.TRT151227A17,2027-12-15,1.9698630136986301,8.767771389523137,1.3392034792704908,2025-12-26
TP.TRT120128A12,2028-01-12,2.0465753424657533,7.371243729314325,10.608142126237512,2025-12-26
TP.TRT280628A19,2028-06-28,2.506849315068493,4.583956918930343,9.973110286862303,2025-12-26
TP.TRT190728A27,2028-07-19,2.5643835616438357,6.83158172064211,2.642439186769073,2025-12-26
TP.TRT181028A15,2028-10-18,2.813698630136986,3.3772469137685945,2.169562863832096,2025-12-26
TP.TRT140229A18,2029-02-14,3.1397260273972605,6.313921125795341,1.864638018489656,2025-12-26
TP.TRT110429A19,2029-04-11,3.293150684931507,5.6738800041499005,1.205060139565873,2025-12-26
TP.TRT020529A19,2029-05-02,3.350684931506849,5.035228425641769,1.6452747600325626,2025-12-26
TP.TRT130629A15,2029-06-13,3.4657534246575343,6.31397272198424,1.1436362926403292,2025-12-26
TP.TRT280531A15,2031-05-28,5.421917808219178,3.458915859785461,6.53477829289906,2025-12-26
TP.TRT110232A16,2032-02-11,6.131506849315069,4.809676695388121,5.1340021363850274,2025-12-26
TP.TRT040832A19,2032-08-04,6.610958904109589,4.378931251662022,3.5962356698218945,2025-12-26
TP.TRT120133A15,2033-01-12,7.052054794520548,4.153651184812035,3.100943871848133,2025-12-26
TP.TRT070933A14,2033-09-07,7.704109589041096,4.051328844957558,2.3984045393159623,2025-12-26
TP.TRT180827A10,2027-08-18,1.6356164383561644,7.4751327772173415,1.4938303433602176,2025-12-29
TP.TRT151227A17,2027-12-15,1.9616438356164383,8.768279473029693,1.3424419131612968,2025-12-29
TP.TRT120128A12,2028-01-12,2.0383561643835617,7.371262181688998,10.633794514027608,2025-12-29
TP.TRT280628A19,2028-06-28,2.4986301369863013,4.58389037902196,9.997227053917982,2025-12-29
TP.TRT190728A27,2028-07-19,2.5561643835616437,6.831555488322283,2.6488290780359987,2025-12-29
TP.TRT181028A15,2028-10-18,2.8054794520547945,3.3772304821222177,2.1748092554486225,2025-12-29
TP.TRT140229A18,2029-02-14,3.1315068493150684,6.313850037448154,1.869147047212051,2025-12-29
TP.TRT110429A19,2029-04-11,3.2849315068493152,5.67377675671048,1.207974190833538,2025-12-29
TP.TRT020529A19,2029-05-02,3.3424657534246576,5.035446392846876,1.6492533291036937,2025-12-29
TP.TRT130629A15,2029-06-13,3.4575342465753423,6.313756936710302,1.1464018100438977,2025-12-29
TP.TRT280531A15,2031-05-28,5.413698630136986,3.458861100063193,6.550580557319814,2025-12-29
TP.TRT110232A16,2032-02-11,6.123287671232877,4.809667762794434,5.146417073152513,2025-12-29
TP.TRT040832A19,2032-08-04,6.602739726027397,4.378916208988559,3.604932011828727,2025-12-29
TP.TRT120133A15,2033-01-12,7.043835616438356,4.153640504100253,3.108442509570871,2025-12-29
TP.TRT070933A14,2033-09-07,7.695890410958904,4.05132159296977,2.404204311093896,2025-12-29
TP.TRT180827A10,2027-08-18,1.632876712328767,7.475136137536498,1.4950315550634636,2025-12-30
TP.TRT151227A17,2027-12-15,1.9589041095890412,8.768171203142838,1.3435213911248987,2025-12-30
TP.TRT120128A12,2028-01-12,2.0356164383561643,7.371152604606324,10.64234530995764,2025-12-30
TP.TRT280628A19,2028-06-28,2.495890410958904,4.5839172038099285,10.005265976269873,2025-12-30
TP.TRT190728A27,2028-07-19,2.5534246575342467,6.831636094982363,2.65095904179164,2025-12-30
TP.TRT181028A15,2028-10-18,2.802739726027397,3.3772983970171477,2.1765580526541313,2025-12-30
TP.TRT140229A18,2029-02-14,3.128767123287671,6.313846572901527,1.8706500567861828,2025-12-30
TP.TRT110429A19,2029-04-11,3.282191780821918,5.673865868339689,1.208945541256093,2025-12-30
TP.TRT020529A19,2029-05-02,3.33972602739726,5.035309239068209,1.6505795187940708,2025-12-30
TP.TRT130629A15,2029-06-13,3.4547945205479453,6.31381383831624,1.1473236491784204,2025-12-30
TP.TRT280531A15,2031-05-28,5.410958904109589,3.458860616328363,6.555847978793399,2025-12-30
TP.TRT110232A16,2032-02-11,6.120547945205479,4.133176010015038,5.150555385408341,2025-12-30
TP.TRT040832A19,2032-08-04,6.6,4.378936995810623,3.6078307924976714,2025-12-30
TP.TRT120133A15,2033-01-12,7.041095890410959,4.174092308882416,3.1109420554784504,2025-12-30
TP.TRT070933A14,2033-09-07,7.693150684931507,4.051298796983849,2.4061375683532074,2025-12-30
TP.TRT180827A10,2027-08-18,1.63013698630137,7.4756585672011155,1.4962327667667097,2025-12-31
TP.TRT151227A17,2027-12-15,1.9561643835616438,8.768086353158777,1.3446008690885007,2025-12-31
