dt,PY.P06.ON,PY.P04.ON,PY.P05.ON,PY.P01.ON,PY.P02.ON,PY.P03.ON
1991-04-25,97.11,95.0,100.0,,,4204.4
1991-04-26,96.63,95.0,100.0,,,3202.4
1991-04-29,95.0,95.0,95.0,,,2180.6
1991-04-30,94.62,93.0,95.0,,,2271.8
1991-05-01,90.91,90.0,93.0,,,2158.4
1991-05-02,88.7,88.0,90.0,,,2231.2
1991-05-03,86.96,86.0,88.0,,,1849.6
1991-05-06,86.0,86.0,86.0,,,1664.0
1991-05-07,85.0,85.0,85.0,,,2057.8
1991-05-08,83.0,83.0,83.0,,,2692.2
1991-05-09,81.99,81.0,82.0,,,2312.6
1991-05-10,80.67,80.0,81.0,,,2546.0
1991-05-13,79.98,79.75,80.0,,,3557.0
1991-05-14,79.98,79.75,80.0,,,3801.0
1991-05-15,79.93,79.75,80.0,,,2998.8
1991-05-16,79.89,79.75,80.0,,,2677.0
1991-05-17,79.89,79.75,80.0,,,2494.6
1991-05-20,77.91,77.75,78.0,,,2659.0
1991-05-21,77.79,75.25,78.0,,,2162.2
1991-05-22,77.87,77.75,78.0,,,2158.6
1991-05-23,77.86,77.75,78.0,,,1984.4
1991-05-24,77.88,77.75,78.0,,,1993.4
1991-05-27,77.89,77.75,78.0,,,2084.8
1991-05-28,77.78,75.25,78.0,,,1893.2
1991-05-29,77.83,77.75,78.0,,,1665.6
1991-05-30,76.82,76.75,77.0,,,2040.6
1991-05-31,75.36,73.0,76.0,,,2098.6
1991-06-03,75.85,75.75,76.0,,,2677.8
1991-06-04,75.83,75.75,76.0,,,2120.6
1991-06-05,75.89,75.75,76.0,,,2717.6
1991-06-06,74.82,74.75,75.0,,,2184.0
1991-06-07,73.87,73.75,74.0,,,2161.0
1991-06-10,72.79,70.0,73.0,,,1640.6
1991-06-11,72.79,72.75,73.0,,,1576.6
1991-06-12,70.11,70.0,70.25,,,2941.2
1991-06-13,69.62,69.5,70.75,,,2741.4
1991-06-14,70.78,70.0,71.0,,,3279.0
1991-06-17,70.92,70.75,71.0,,,3174.2
1991-06-18,70.89,70.75,71.0,,,3024.8
1991-06-19,70.87,70.75,71.0,,,3170.6
1991-06-20,70.83,70.75,71.0,,,2928.4
1991-06-21,70.9,70.75,71.0,,,2959.8
1991-06-24,,,,,,
1991-06-25,,,,,,
1991-06-26,,,,,,
1991-06-27,69.96,69.75,70.0,,,3861.8
1991-06-28,68.21,66.0,69.0,,,2376.4
1991-07-01,68.81,68.75,69.0,,,2694.6
1991-07-02,68.81,68.75,69.0,,,2236.0
1991-07-03,68.83,68.75,69.0,,,2028.4
1991-07-04,67.77,67.75,68.0,,,1552.0
1991-07-05,67.77,67.75,68.0,,,1956.4
1991-07-08,66.39,64.0,66.75,,,2133.2
1991-07-09,64.75,64.0,65.75,,,2386.2
1991-07-10,64.0,64.0,64.0,,,2863.4
1991-07-11,64.43,64.0,65.75,,,2312.8
1991-07-12,65.85,65.75,66.0,,,3260.2
1991-07-15,65.89,65.75,66.0,,,3127.4
1991-07-16,65.85,65.75,66.0,,,2517.8
1991-07-17,65.45,63.0,66.0,,,1628.0
1991-07-18,65.75,65.75,66.0,,,2232.0
1991-07-19,65.75,65.75,65.75,,,2411.6
1991-07-22,65.75,65.75,66.0,,,3003.6
1991-07-23,65.35,65.0,65.75,,,3384.8
1991-07-24,65.79,65.75,66.0,,,2513.6
1991-07-25,65.75,65.75,65.75,,,1970.4
1991-07-26,65.75,65.75,66.0,,,1804.6
1991-07-29,65.75,65.75,65.75,,,1920.6
1991-07-30,65.75,65.75,65.75,,,2020.8
1991-07-31,65.75,65.75,65.75,,,2366.4
1991-08-01,65.75,65.75,65.75,,,3048.2
1991-08-02,65.77,65.75,66.0,,,2965.2
1991-08-05,65.79,65.75,66.0,,,2260.2
1991-08-06,65.1,64.5,66.0,,,2238.2
1991-08-07,63.15,63.0,64.5,,,3293.6
1991-08-08,61.05,61.0,61.25,,,4246.0
1991-08-09,60.04,60.0,60.25,,,4512.0
1991-08-12,60.04,60.0,60.25,,,4259.0
1991-08-13,60.1,60.0,60.25,,,3644.6
1991-08-14,60.15,60.0,60.25,,,4050.4
1991-08-15,60.15,60.0,60.25,,,3986.8
1991-08-16,62.19,61.0,63.75,,,3433.2
1991-08-19,64.25,62.0,65.0,,,4693.2
1991-08-20,66.71,65.75,67.0,,,5280.8
1991-08-21,67.78,67.75,68.0,,,3160.0
1991-08-22,67.75,67.75,67.75,,,2483.4
1991-08-23,67.5,65.0,67.75,,,3364.8
1991-08-26,67.7,67.5,67.75,,,3040.0
1991-08-27,67.55,67.5,67.75,,,3224.4
1991-08-28,67.79,67.75,68.0,,,2234.0
1991-08-29,67.84,67.75,68.0,,,1746.4
1991-08-30,,,,,,
1991-09-02,66.9,66.75,67.0,,,2696.8
1991-09-03,65.89,65.75,66.0,,,2352.2
1991-09-04,65.75,65.75,65.75,,,3018.4
1991-09-05,64.78,64.75,65.0,,,3291.2
1991-09-06,63.8,63.75,64.0,,,2951.2
1991-09-09,62.8,62.75,63.0,,,3125.2
1991-09-10,61.8,61.75,62.0,,,2735.8
1991-09-11,61.86,61.75,62.0,,,2497.4
1991-09-12,61.9,61.75,62.0,,,3716.4
1991-09-13,61.92,61.75,62.0,,,3172.6
1991-09-16,61.94,61.75,62.0,,,2666.6
1991-09-17,61.91,61.75,62.0,,,3085.8
1991-09-18,61.9,61.75,62.0,,,3156.8
1991-09-19,61.84,61.75,62.0,,,4415.0
1991-09-20,61.8,61.75,62.0,,,3329.0
1991-09-23,61.78,61.75,62.0,,,2624.8
1991-09-24,61.82,61.75,62.0,,,1992.8
1991-09-25,61.87,61.75,62.0,,,1820.0
1991-09-26,61.85,61.75,62.0,,,2226.4
1991-09-27,61.85,61.75,62.0,,,2605.4
1991-09-30,61.94,61.75,62.0,,,2167.4
1991-10-01,61.91,61.75,62.0,,,2436.2
1991-10-02,61.82,61.75,62.0,,,3305.6
1991-10-03,61.75,61.75,61.75,,,4620.2
1991-10-04,61.75,61.75,61.75,,,3701.2
1991-10-07,61.75,61.75,61.75,,,2986.8
1991-10-08,61.75,61.75,61.75,,,3522.2
1991-10-09,61.75,61.75,61.75,,,3938.2
1991-10-10,61.75,61.75,61.75,,,2889.8
1991-10-11,61.78,61.75,62.0,,,1771.8
1991-10-14,61.9,61.75,62.0,,,3794.0
1991-10-15,61.82,61.75,62.0,,,2748.0
1991-10-16,61.86,61.75,62.0,,,3093.2
1991-10-17,61.84,61.75,62.0,,,2482.0
1991-10-18,61.83,61.75,62.0,,,2492.6
1991-10-21,61.92,61.75,62.0,,,3243.0
1991-10-22,61.79,61.75,62.0,,,1984.0
1991-10-23,61.93,61.75,62.0,,,1958.8
1991-10-24,61.91,61.75,62.0,,,2129.0
1991-10-25,61.87,61.75,62.0,,,1822.4
1991-10-28,61.81,61.75,62.0,,,1021.4
1991-10-29,,,,,,
1991-10-30,61.75,61.75,61.75,,,1208.2
1991-10-31,61.75,61.75,61.75,,,1234.6
1991-11-01,61.75,61.75,61.75,,,1747.8
1991-11-04,61.83,61.75,62.0,,,878.2
1991-11-05,61.75,61.75,62.0,,,1027.8
1991-11-06,61.75,61.75,61.75,,,1239.6
1991-11-07,61.75,61.75,61.75,,,1854.8
1991-11-08,61.75,61.75,61.75,,,947.4
1991-11-11,61.75,61.75,61.75,,,1364.6
1991-11-12,61.76,61.75,62.0,,,1119.2
1991-11-13,61.75,61.75,61.75,,,1306.8
1991-11-14,61.86,61.75,62.0,,,3790.8
1991-11-15,61.89,61.75,62.0,,,3056.6
1991-11-18,61.93,61.75,62.0,,,2508.6
1991-11-19,61.84,61.75,62.0,,,2252.0
1991-11-20,61.83,61.75,62.0,,,2130.2
1991-11-21,61.75,61.75,61.75,,,1490.8
1991-11-22,61.75,61.75,61.75,,,860.2
1991-11-25,61.83,61.75,62.0,,,807.0
1991-11-26,61.75,61.75,61.75,,,1317.0
1991-11-27,61.75,61.75,61.75,,,3434.8
1991-11-28,60.75,60.75,60.75,,,3602.2
1991-11-29,60.75,60.75,60.75,,,2554.8
1991-12-02,59.75,59.75,59.75,,,1652.4
1991-12-03,59.77,59.75,60.0,,,1881.0
1991-12-04,59.92,59.75,60.0,,,2361.2
1991-12-05,59.92,59.75,60.0,,,2369.4
1991-12-06,59.96,59.75,60.0,,,2166.4
1991-12-09,59.95,59.75,60.0,,,2178.4
1991-12-10,59.9,59.75,60.0,,,2112.6
1991-12-11,59.95,59.75,60.0,,,2569.6
1991-12-12,59.94,59.75,60.0,,,2578.8
1991-12-13,59.89,59.75,60.0,,,2592.2
1991-12-16,59.97,59.75,60.0,,,2906.8
1991-12-17,59.94,59.75,60.0,,,3018.8
1991-12-18,59.97,59.75,60.0,,,3502.8
1991-12-19,59.91,59.75,60.0,,,2446.8
1991-12-20,59.9,59.75,60.0,,,1782.8
1991-12-23,59.89,59.75,60.0,,,1506.2
1991-12-24,59.89,59.75,60.0,,,1537.2
1991-12-25,59.75,59.75,59.75,,,3521.0
1991-12-26,59.75,59.75,59.75,,,4373.4
1991-12-27,59.75,59.75,59.75,,,2741.4
1991-12-30,59.75,59.75,59.75,,,1560.4
1991-12-31,59.75,59.75,59.75,,,2998.8
1992-01-01,,,,,,
1992-01-02,59.75,59.75,59.75,,,6609.8
1992-01-03,59.75,59.75,59.75,,,6689.6
1992-01-06,59.75,59.75,59.75,,,7141.2
1992-01-07,59.75,59.75,59.75,,,6911.2
1992-01-08,59.75,59.75,59.75,,,4110.4
1992-01-09,59.75,59.75,59.75,,,4416.2
1992-01-10,59.75,59.75,59.75,,,2916.2
1992-01-13,59.75,59.75,59.75,,,2506.6
1992-01-14,60.75,60.75,60.75,,,3997.0
1992-01-15,60.75,60.75,60.75,,,1811.6
1992-01-16,60.75,60.75,60.75,,,1995.0
1992-01-17,60.75,60.75,60.75,,,1783.8
1992-01-20,60.75,60.75,60.75,,,1447.8
