dt,MK_F_BILESIK,UNIXTIME
1987-09-01,,"{""numberLong"":""557445600""}"
1987-09-02,,"{""numberLong"":""557532000""}"
1987-09-03,,"{""numberLong"":""557618400""}"
1987-09-04,0.1097,"{""numberLong"":""557704800""}"
1987-09-07,,"{""numberLong"":""557964000""}"
1987-09-08,,"{""numberLong"":""558050400""}"
1987-09-09,,"{""numberLong"":""558136800""}"
1987-09-10,,"{""numberLong"":""558223200""}"
1987-09-11,0.1051,"{""numberLong"":""558309600""}"
1987-09-14,,"{""numberLong"":""558568800""}"
1987-09-15,,"{""numberLong"":""558655200""}"
1987-09-16,,"{""numberLong"":""558741600""}"
1987-09-17,,"{""numberLong"":""558828000""}"
1987-09-18,0.1091,"{""numberLong"":""558914400""}"
1987-09-21,,"{""numberLong"":""559173600""}"
1987-09-22,,"{""numberLong"":""559260000""}"
1987-09-23,,"{""numberLong"":""559346400""}"
1987-09-24,,"{""numberLong"":""559432800""}"
1987-09-25,0.1029,"{""numberLong"":""559519200""}"
1987-09-28,,"{""numberLong"":""559782000""}"
1987-09-29,,"{""numberLong"":""559868400""}"
1987-09-30,,"{""numberLong"":""559954800""}"
1987-10-01,,"{""numberLong"":""560041200""}"
1987-10-02,0.1,"{""numberLong"":""560127600""}"
1987-10-05,,"{""numberLong"":""560386800""}"
1987-10-06,,"{""numberLong"":""560473200""}"
1987-10-07,,"{""numberLong"":""560559600""}"
1987-10-08,,"{""numberLong"":""560646000""}"
1987-10-09,0.0998,"{""numberLong"":""560732400""}"
1987-10-12,,"{""numberLong"":""560991600""}"
1987-10-13,,"{""numberLong"":""561078000""}"
1987-10-14,,"{""numberLong"":""561164400""}"
1987-10-15,,"{""numberLong"":""561250800""}"
1987-10-16,0.093,"{""numberLong"":""561337200""}"
1987-10-19,,"{""numberLong"":""561596400""}"
1987-10-20,,"{""numberLong"":""561682800""}"
1987-10-21,,"{""numberLong"":""561769200""}"
1987-10-22,,"{""numberLong"":""561855600""}"
1987-10-23,0.0823,"{""numberLong"":""561942000""}"
1987-10-26,0.084,"{""numberLong"":""562201200""}"
1987-10-27,0.0827,"{""numberLong"":""562287600""}"
1987-10-28,0.0813,"{""numberLong"":""562374000""}"
1987-10-29,,"{""numberLong"":""562460400""}"
1987-10-30,0.0786,"{""numberLong"":""562546800""}"
1987-11-02,0.0765,"{""numberLong"":""562806000""}"
1987-11-03,0.074,"{""numberLong"":""562892400""}"
1987-11-04,0.0708,"{""numberLong"":""562978800""}"
1987-11-05,0.0678,"{""numberLong"":""563065200""}"
1987-11-06,0.0653,"{""numberLong"":""563151600""}"
1987-11-09,0.0627,"{""numberLong"":""563410800""}"
1987-11-10,0.0618,"{""numberLong"":""563497200""}"
1987-11-11,0.0597,"{""numberLong"":""563583600""}"
1987-11-12,0.0589,"{""numberLong"":""563670000""}"
1987-11-13,0.0565,"{""numberLong"":""563756400""}"
1987-11-16,0.0702,"{""numberLong"":""564015600""}"
1987-11-17,0.0757,"{""numberLong"":""564102000""}"
1987-11-18,0.0755,"{""numberLong"":""564188400""}"
1987-11-19,0.0743,"{""numberLong"":""564274800""}"
1987-11-20,0.0734,"{""numberLong"":""564361200""}"
1987-11-23,0.0733,"{""numberLong"":""564620400""}"
1987-11-24,0.077,"{""numberLong"":""564706800""}"
1987-11-25,0.0848,"{""numberLong"":""564793200""}"
1987-11-26,0.085,"{""numberLong"":""564879600""}"
1987-11-27,0.0864,"{""numberLong"":""564966000""}"
1987-11-30,0.0891,"{""numberLong"":""565225200""}"
1987-12-01,0.086,"{""numberLong"":""565311600""}"
1987-12-02,0.0794,"{""numberLong"":""565398000""}"
1987-12-03,0.0813,"{""numberLong"":""565484400""}"
1987-12-04,0.0792,"{""numberLong"":""565570800""}"
1987-12-07,0.0744,"{""numberLong"":""565830000""}"
1987-12-08,0.0689,"{""numberLong"":""565916400""}"
1987-12-09,0.0708,"{""numberLong"":""566002800""}"
1987-12-10,0.0681,"{""numberLong"":""566089200""}"
1987-12-11,0.0677,"{""numberLong"":""566175600""}"
1987-12-14,0.0661,"{""numberLong"":""566434800""}"
1987-12-15,0.0683,"{""numberLong"":""566521200""}"
1987-12-16,0.0698,"{""numberLong"":""566607600""}"
1987-12-17,0.0687,"{""numberLong"":""566694000""}"
