dt,BISTTLREF.ORAN
2023-01-13,9.9377
2023-01-16,
2023-01-17,9.143
2023-01-18,8.9983
2023-01-19,
2023-01-20,9.4803
2023-01-23,9.4941
2023-01-24,9.5319
2023-01-25,9.4005
2023-01-26,9.2888
2023-01-27,9.3962
2023-01-30,9.3351
2023-01-31,9.298
2023-02-01,9.2037
2023-02-02,9.4379
2023-02-03,9.7764
2023-02-06,9.9511
2023-02-07,9.5879
2023-02-08,9.5813
2023-02-09,9.4996
2023-02-10,9.2643
2023-02-13,8.633
2023-02-14,9.6458
2023-02-15,9.4533
2023-02-16,8.8781
2023-02-17,8.6991
2023-02-20,8.9761
2023-02-21,8.4012
2023-02-22,8.8553
2023-02-23,9.0569
2023-02-24,8.6847
2023-02-27,7.6276
2023-02-28,8.4364
2023-03-01,8.8729
2023-03-02,9.0154
2023-03-03,8.8176
2023-03-06,8.6176
2023-03-07,8.6023
2023-03-08,8.7046
2023-03-09,8.7437
2023-03-10,8.6928
2023-03-13,8.3249
2023-03-14,8.358
2023-03-15,8.4853
2023-03-16,
2023-03-17,9.5292
2023-03-20,9.1179
2023-03-21,8.656
2023-03-22,9.2674
2023-03-23,
2023-03-24,9.1416
2023-03-27,8.9888
2023-03-28,8.9971
2023-03-29,9.189
2023-03-30,9.0591
2023-03-31,9.4543
2023-04-03,9.2471
2023-04-04,9.1441
2023-04-05,8.5925
2023-04-06,9.1292
2023-04-07,9.1248
2023-04-10,9.3957
2023-04-11,9.4354
2023-04-12,9.6749
2023-04-13,9.2654
2023-04-14,9.7077
2023-04-17,9.4252
2023-04-18,9.651
2023-04-19,9.9914
2023-04-20,9.9975
2023-04-21,
2023-04-24,9.9933
2023-04-25,9.9936
2023-04-26,9.9824
2023-04-27,9.9936
2023-04-28,9.9965
2023-05-01,
2023-05-02,9.9974
2023-05-03,9.9935
2023-05-04,9.9917
2023-05-05,9.9894
2023-05-08,9.9943
2023-05-09,9.9973
2023-05-10,9.9992
2023-05-11,9.9988
2023-05-12,9.9998
2023-05-15,9.9981
2023-05-16,9.9974
2023-05-17,9.9977
2023-05-18,9.9987
2023-05-19,
2023-05-22,9.9985
2023-05-23,9.9993
2023-05-24,9.9994
2023-05-25,10.0
2023-05-26,10.0
2023-05-29,9.9996
2023-05-30,9.9997
2023-05-31,10.0
2023-06-01,10.0
2023-06-02,10.0
2023-06-05,10.0
2023-06-06,10.0
2023-06-07,9.9999
2023-06-08,9.9984
2023-06-09,9.9994
2023-06-12,9.9993
2023-06-13,9.9978
2023-06-14,9.9965
2023-06-15,9.996
2023-06-16,9.994
2023-06-19,9.3623
2023-06-20,8.1567
2023-06-21,8.4506
2023-06-22,9.3204
2023-06-23,16.3831
2023-06-26,16.4911
2023-06-27,16.45
2023-06-28,
2023-06-29,
2023-06-30,
2023-07-03,16.424
2023-07-04,16.1599
2023-07-05,14.7759
2023-07-06,15.1173
2023-07-07,16.4422
2023-07-10,16.2746
2023-07-11,14.578
2023-07-12,13.923
2023-07-13,13.5356
2023-07-14,13.5567
2023-07-17,13.5073
2023-07-18,13.5044
2023-07-19,13.5035
2023-07-20,13.51
