dt,PYUK1,PYUK2,PYUK3,PYUK4
2013-03-01,70998.0,64868.0,99.0,741.0
2013-03-08,74160.0,64829.0,295.0,147.0
2013-03-15,74089.0,62349.0,196.0,-1559.0
2013-03-22,73082.0,61876.0,-97.0,-166.0
2013-03-29,76276.0,64925.0,82.0,3078.0
2013-04-05,73869.0,65206.0,46.0,45.0
2013-04-12,75785.0,68470.0,-340.0,1807.0
2013-04-19,74248.0,69037.0,79.0,681.0
2013-04-26,76063.0,70002.0,290.0,920.0
2013-05-03,80126.0,71818.0,31.0,1267.0
2013-05-10,80537.0,71792.0,163.0,-354.0
2013-05-17,82048.0,69850.0,332.0,-606.0
2013-05-24,80320.0,69182.0,186.0,547.0
2013-05-31,74520.0,67155.0,-145.0,-1098.0
2013-06-07,65801.0,65177.0,-467.0,-25.0
2013-06-14,67868.0,64753.0,-487.0,-532.0
2013-06-21,61591.0,62513.0,-102.0,-132.0
2013-06-28,63174.0,61510.0,-170.0,335.0
2013-07-05,61146.0,60352.0,-98.0,-554.0
2013-07-12,60112.0,58630.0,-113.0,-614.0
2013-07-19,63248.0,59589.0,-158.0,-776.0
2013-07-26,60383.0,58504.0,-172.0,-586.0
2013-08-02,60526.0,59148.0,-47.0,1105.0
2013-08-09,61262.0,59071.0,54.0,-866.0
2013-08-16,61345.0,60633.0,149.0,1606.0
2013-08-23,54621.0,56878.0,-280.0,-1072.0
2013-08-30,51405.0,54346.0,-348.0,-376.0
2013-09-06,51458.0,53778.0,41.0,-358.0
2013-09-13,56807.0,55672.0,262.0,135.0
2013-09-20,64150.0,58068.0,308.0,-594.0
2013-09-27,59861.0,57416.0,161.0,1307.0
2013-10-04,60819.0,57681.0,-107.0,-272.0
2013-10-11,62012.0,58317.0,466.0,-200.0
2013-10-18,62052.0,57925.0,12.0,-882.0
2013-10-25,64480.0,60497.0,191.0,1714.0
2013-11-01,62411.0,59224.0,48.0,-569.0
2013-11-08,59240.0,58568.0,-142.0,905.0
2013-11-15,59815.0,56143.0,828.0,-1764.0
2013-11-22,61442.0,57911.0,119.0,935.0
2013-11-29,61308.0,56645.0,-35.0,-1157.0
2013-12-06,58223.0,56022.0,-85.0,514.0
2013-12-13,59560.0,55170.0,10.0,-1377.0
2013-12-20,55415.0,53832.0,-88.0,-532.0
2013-12-27,49298.0,52689.0,-138.0,-13.0
2014-01-03,50456.0,51491.0,168.0,906.0
2014-01-10,50676.0,50355.0,1.0,-1112.0
2014-01-17,49658.0,50600.0,32.0,943.0
2014-01-24,46786.0,48289.0,1.0,-674.0
2014-01-31,44696.0,47123.0,-465.0,-662.0
2014-02-07,47454.0,47243.0,-57.0,-1183.0
2014-02-14,48238.0,48078.0,151.0,230.0
2014-02-21,47471.0,47473.0,-111.0,-199.0
2014-02-28,46025.0,47080.0,-67.0,81.0
2014-03-07,47809.0,46275.0,414.0,-1728.0
2014-03-14,46941.0,44885.0,-93.0,-374.0
2014-03-21,47967.0,44753.0,227.0,295.0
2014-03-28,51950.0,45890.0,143.0,-141.0
2014-04-04,56294.0,48924.0,525.0,1296.0
2014-04-11,57733.0,49993.0,275.0,-207.0
2014-04-18,57391.0,49169.0,-283.0,-287.0
2014-04-25,55984.0,48942.0,278.0,-106.0
2014-05-02,58893.0,50152.0,-178.0,1.0
2014-05-09,60797.0,51051.0,225.0,-662.0
2014-05-16,60349.0,50556.0,181.0,-245.0
2014-05-23,63198.0,49890.0,-194.0,-663.0
2014-05-30,63959.0,51930.0,513.0,1925.0
2014-06-06,63969.0,52040.0,-71.0,160.0
2014-06-13,63333.0,52713.0,108.0,342.0
2014-06-20,62085.0,52340.0,-239.0,86.0
2014-06-27,61933.0,54221.0,-46.0,1781.0
2014-07-04,61070.0,54829.0,-53.0,705.0
2014-07-11,62625.0,54709.0,120.0,-268.0
2014-07-18,65052.0,55112.0,396.0,-87.0
2014-07-25,67741.0,56996.0,42.0,1119.0
2014-08-01,64835.0,55140.0,126.0,-403.0
2014-08-08,61662.0,52363.0,-247.0,-1483.0
2014-08-15,60503.0,52769.0,-258.0,343.0
2014-08-22,61013.0,52409.0,178.0,105.0
2014-08-29,63108.0,53303.0,165.0,335.0
2014-09-05,64269.0,53278.0,118.0,-376.0
2014-09-12,60461.0,52067.0,-107.0,-303.0
2014-09-19,58809.0,51022.0,-108.0,54.0
2014-09-26,55375.0,49989.0,-186.0,-246.0
2014-10-03,54123.0,48147.0,-37.0,-937.0
2014-10-10,54364.0,49065.0,-123.0,484.0
2014-10-17,54736.0,49261.0,-235.0,191.0
2014-10-24,58930.0,51404.0,544.0,820.0
2014-10-31,60823.0,51718.0,282.0,-213.0
2014-11-07,58095.0,51813.0,144.0,403.0
2014-11-14,60474.0,52331.0,-53.0,426.0
2014-11-21,62549.0,52666.0,92.0,-243.0
2014-11-28,65290.0,54136.0,342.0,358.0
2014-12-05,65206.0,54182.0,262.0,312.0
2014-12-12,62577.0,52605.0,-115.0,-555.0
2014-12-19,60308.0,51215.0,-333.0,108.0
2014-12-26,61807.0,51655.0,184.0,-60.0
2015-01-02,61807.3,52115.3,-58.8,514.8
2015-01-09,64064.2,52091.3,72.0,-1138.3
2015-01-16,64749.6,53903.4,164.5,842.1
2015-01-23,65826.9,52067.9,253.0,33.0
2015-01-30,62799.4,50977.5,71.9,-52.2
2015-02-06,59167.0,49004.7,-409.0,-384.7
2015-02-13,57941.3,47820.5,-373.0,3.7
2015-02-20,59036.1,48543.0,110.0,-354.6
2015-02-27,57443.1,47149.1,54.5,-234.1
2015-03-06,52578.6,44795.0,-335.5,-403.2
2015-03-13,49689.2,44434.5,-586.9,-31.0
