dt,AB.N06
2025-11-28,3055023239.0
2025-12-05,3287412591.0
2025-12-12,3385956914.0
2025-12-19,3430939179.0
2025-12-26,3411442167.0
2026-01-02,3294203068.0
2026-01-09,3563716686.0
2026-01-16,3924054390.0
2026-01-23,4208626460.0
2026-01-30,4046632412.0
2026-02-06,3965869980.0
2026-02-13,4177026930.0
2026-02-20,3896402629.0
2026-02-27,4020112886.0
2026-03-06,3459525961.0
2026-03-13,3038345415.0
2026-03-20,2533482727.0
2026-03-27,1553491342.0
2026-04-03,2027832666.0
2026-04-10,2474380730.0
2026-04-17,2608241313.0
2026-04-24,2430218561.0
2026-05-01,2413781313.0
2026-05-08,2484427537.0
2026-05-15,2363620984.0
2026-05-22,2140997600.0
2026-05-29,2090224631.0
2026-06-05,2149443395.0
2026-06-12,2076313835.0
2026-06-19,2405391827.0
2026-06-26,2107506637.0
2026-07-03,2565422304.0
2026-07-10,2633083195.0
2026-07-17,2403359711.0
2026-07-24,2409957051.0
2026-07-31,2563594813.0
2026-08-07,2992063776.0
2026-08-14,3201634391.0
