dt,KREDI.L001
2024-08-30,14120484886.0
2024-09-06,14135855851.0
2024-09-13,14201156862.0
2024-09-20,14279336695.0
2024-09-27,14429175508.0
2024-10-04,14465257690.0
2024-10-11,14473329192.0
2024-10-18,14467681874.0
2024-10-25,14556002644.0
2024-11-01,14646189626.0
2024-11-08,14655157235.0
2024-11-15,14689545587.0
2024-11-22,14777761383.0
2024-11-29,14962174808.0
2024-12-06,15029326754.0
2024-12-13,15184522492.0
2024-12-20,15247104322.0
2024-12-27,15455841153.0
2025-01-03,15483209306.0
2025-01-10,15572980918.0
2025-01-17,15594311576.0
2025-01-24,15741507673.0
2025-01-31,15885466004.0
